,title,listing_url,price,time_posted,num_bedrooms,sqft,neighborhood,latitude,longitude,description,address
10,1+1 with parking and locker Brand New Never Lived in - NOT on MLS,https://toronto.craigslist.org/tor/apa/d/toronto-11-with-parking-and-locker/6942609338.html,2350,2019-08-16 17:10,1.0,,576 Front St W,43.641538,-79.400577,"
        
Minto Westside, design-forward condos at Front and Bathurst takes community living to the next level, and offers stunning views of the Toronto skyline. Designed for entertaining and socializing, and featuring amenities like landscaped courtyards, rooftop pool and bar, Movement Haus gym and more, everything you need is right at your doorstep.

Listing for 1+1 $2,350 including parking and locker


For more information, please email  
 with ALL the following info:
1) Your name
2) Your phone number to schedule viewing
3) Email address (your real email address not kijij email address) 
4) Your desire moving date 


** Please note that only emails that include ALL requirements information as described will be responded. **
** . Tenants Receive ****FREE SERVICES**** There is NO COST to you as a renter. **
** Other downtown locations available depending on occupancy dates. ** 

Thank You 
Ravid MOTEK
Real Estate Broker 


**Not intended to solicit buyers or sellers already under contract**    ","Toronto Waterfront Communities-The Island, ON M5V
Waterfront Communities-The Island, Toronto, Downtown Toronto Toronto Ontario Canada"
11,1bd +parking and locker in a Brand New Never Lived in - NOT on MLS,https://toronto.craigslist.org/tor/apa/d/toronto-1bd-parking-and-locker-in-brand/6942622091.html,2000,2019-08-16 17:10,1.0,,576 Front St W,43.641538,-79.400577,"
        
Minto Westside, design-forward condos at Front and Bathurst takes community living to the next level, and offers stunning views of the Toronto skyline. Designed for entertaining and socializing, and featuring amenities like landscaped courtyards, rooftop pool and bar, Movement Haus gym and more, everything you need is right at your doorstep.

Listing for $2,000 including parking and locker


For more information, please email  
 with ALL the following info:
1) Your name
2) Your phone number to schedule viewing
3) Your desire moving date 


** Please note that only emails that include ALL requirements information as described will be responded. **
** . Tenants Receive ****FREE SERVICES**** There is NO COST to you as a renter. **
** Other downtown locations available depending on occupancy dates. ** 

Thank You 
Ravid MOTEK
Real Estate Broker 


**Not intended to solicit buyers or sellers already under contract**
    ","Toronto Waterfront Communities-The Island, ON M5V
Waterfront Communities-The Island, Toronto, Downtown Toronto Toronto Ontario Canada"
12,South Facing Condo In The Heart Of Toronto's Waterfront,https://toronto.craigslist.org/tor/apa/d/toronto-south-facing-condo-in-the-heart/6958197888.html,4300,2019-08-16 17:21,2.0,950.0,230 Queens Quay W,43.623,-79.3936,"
        
Must See South Facing Condo In The Heart Of Toronto's Waterfront. Open Lake Ontario View And City View, 2 Balconies, Open Concept, High Ceiling, Wood Floor Throughout, Granite Counters, Double Sink, Master Bedroom With 3Pc Ensuite And Walk-In Closet. Ss Appliances, Guest Room, Visitor Parking And More! Extras:Includes: Ss Fridge, Stove, Microwave, Washer And Dryer, Window Covering And All Light Fixtures. Fully Furnished!

TO VIEW THIS PROPERTY PLEASE CALL OR TEXT  


THE REAL ESTATE OFFICE INC., BROKERAGE
42 FORT YORK BLVD
TORONTO ONTARIO M5V3Z3
TO VIEW CALL OR TEXT:  


***WALK-INS ALSO WELCOME, OPEN 7 DAYS A WEEK!!***    ","741 Lakeshore Avenue, Toronto Waterfront Communities-The Island, ON M5J
Waterfront Communities-The Island, Toronto Toronto Ontario Canada"
13,Downtown Toronto fully Furnished – 2 Bedroom suite,https://toronto.craigslist.org/tor/apa/d/toronto-downtown-toronto-fully/6958208952.html,2700,2019-08-16 17:26,2.0,700.0,Jarvis and Carlton,43.662456,-79.376675,"
        
Stay in our comfortable 2 bedroom townhouse condo located in the heart of downtown Toronto. Very close to Loblaws, Ryerson University, The Village. Closest Subway is College station. TCC Subway stop is 2 blocks by walk, street car stop is 1 min walk from home. 
It is close to all major attraction in Toronto. 
Unit includes:
- Hydro
- Enbridge 
- AC/Heater
- washer dryler (in-unit)
- Parking available for 100 CAD additional
- BBQ area

Place is ideal for small family, master bedroom is comfortable layout, queen size mattress. Smaller bedroom is comfortable double bed, Kitchen is fully equipped. 

Available September 11 , 2019 –1 year agreement to be signed. We are flexible for short term rental of 6 months as well, please discuss )
We will need your Equifax Credit Report and Letter of Employment (or two pay stubs), please contact to check the place.
    ","326 Jarvis Street, Toronto, ON M4Y2G6
Toronto, Downtown Toronto, Church-Yonge Corridor, Cabbagetown-South Saint James Town' Toronto Ontario Canada"
14,Townhouse at Pier 27,https://toronto.craigslist.org/tor/apa/d/toronto-townhouse-at-pier-27/6947649143.html,6000,2019-08-16 16:50,2.0,,Harbourfront,43.644771,-79.373306,"
        
Available Immediately 
Furnished 
Under 2000 square feet
2 Parking Spaces included
Locker included
Terrace Balcony 

Enjoy A Seamless Transition And Live With Ease In This Professionally Managed Unit. Lake Front Luxury Two Bedroom Plus Den Condo Town House. Third Unit From Lake Front Walk Path. Full Height Windows, Private Elevator To All Levels, Resort Style Living, Beautiful View Of The Lake

Extras:Miele Gas Cooktop, Sub-Zero Integrated Fridge, B/I Oven, B/I Microwave, Exhaust Hood Fan, Front Load Washer & Dryer And B/I Dishwasher; All Light Fixtures & Window Coverings. Two Parking, Locker, And Bike Locker.    ","55 Lake Shore Boulevard East, Toronto, ON M5E1A4
Waterfront Communities-The Island, Toronto, Downtown Toronto Toronto Ontario Canada"
15,"Yonge/Sheppard Very Large 2Bdrm Corner Suite Close To School, Subway",https://toronto.craigslist.org/tor/apa/d/north-york-yonge-sheppard-very-large/6957930009.html,3150,2019-08-16 12:34,2.0,1279.0,,43.7673,-79.4111,"
        
Very Large Corner 2 Bedrooms, 2 Washrooms, Floor To Ceiling Windows Unobstructed South & East And West Views. Bright & Sunny. Walk To Sheppard Subway. Close To Shops, Restaurants, School, Etc. Beautiful Apartment. 2 Parking
Includes:S.S. Fridge, S.S. Stove, Dishwasher, Washer & Dryer, Window Covering
 I DO NOT ANSWER EMAILS
PLEASE CALL OR TEXT ME AT  
 FOR THIS RENTAL, REFERENCE #47150    ","21 Hillcrest Avenue, North York, Toronto, ON M2N7K2
Willowdale East, North York North York, Toronto Ontario Canada"
16,Major Mac/Dufferin Bright +Spacious 3Bdrm 3Storey Townhouse,https://toronto.craigslist.org/yrk/apa/d/maple-major-mac-dufferin-bright/6957943004.html,2950,2019-08-16 12:35,3.0,2125.0,,43.8501,-79.5163,"
        
Beautiful Townhouse For Lease In The Luxury Mackenzie Ridge Terrace Bright & Spacious, Well Maintained, 3 Storey, 3 Bed, 3,5 Bath. Hardwood Floor Through Out. Open Concept Kitchen With Quartz Top, Pot Light. Thermostat Can Set Different Temperature Setting For Each Floor.
Extras:S/S Appliances, Gas Stove, B/I Dishwasher, Fridge, Washer/Dryer, 1 Car Garage/Door Remote Control, Central Air Conditioner, Tenant Pays Hydro + Gas. Water Included In Rent Amount.
 I DO NOT ANSWER EMAILS
PLEASE CALL OR TEXT ME AT  
 FOR THIS RENTAL, REFERENCE #47211    ","36 Goodman Crescent, Maple, York, ON L6A1E7
Maple Maple, Vaughan Ontario Canada"
17,Bloor/Bay Luxurious 2Bdrm Condo Steps To Yonge/Bloor Subway,https://toronto.craigslist.org/tor/apa/d/toronto-bloor-bay-luxurious-2bdrm-condo/6957942792.html,3100,2019-08-16 12:34,2.0,850.0,,43.6656,-79.383,"
        
Located In Toronto's Most Prestigious Neighbourhood Close To Yorkville, Steps To Yonge/Bloor Subway, Shopping, Restaurants. This Unit Has All The Upgrades In 839 Sq Ft + Terrace. Panoramic S/E Views, Hardwood Floors Through-Out, 10 Ft Ceilings, Extensive Amenities - 24 Hour Concierge, Indoor Pool, Sauna, Gym, Party Room Etc.
Includes:S/S Fridge, Stove, B/I Dishwasher, B/I Microwave, Washer, Dryer, All Existing Light Fixtures
 I DO NOT ANSWER EMAILS
PLEASE CALL OR TEXT ME AT  
 FOR THIS RENTAL, REFERENCE #47252    ","32 Wellesley Street East, Toronto, ON M4Y0C4
Toronto, Downtown Toronto, Church-Yonge Corridor Toronto Ontario Canada"
18,Cozy 1 Bedroom Suite with Balcony and In Suite Laundry,https://toronto.craigslist.org/tor/apa/d/scarborough-cozy-1-bedroom-suite-with/6958205498.html,2795,2019-08-16 17:22,1.0,573.0,Scarborough,43.7612,-79.2707,"
        
FURNISHED – 1 BED – 1 BATH – CONDO / APARTMENT – 573 SQ. FT.
Scarborough Toronto Furnished Condo Rental at Centro Condos – Cozy 1 Bedroom Suite with Balcony and In Suite Laundry

$2,795 /month
Available: Sep 7, 2019
Annual Lease Only

SCARBOROUGH
25 Town Centre Court
Scarborough

Beautifully styled and boasting high end furnishings, this Scarborough, Toronto furnished condo rental at Centro Condos offers a luxurious lifestyle. Entering the suite you will find a short hallway that open up to reveal the eat in kitchen and living room. Laminate flooring, large windows and tasteful decor can be found throughout this open concept space. You will enjoy lounging on the posh couch while enjoying the views. Here you will find a modern metallic coffee table, area rug and access to the private balcony. The elegant eat in kitchen is home to a chic glass top coffee table, granite counter tops and modern black appliances including a wine fridge. Off the side of the living room you will enter the bedroom, which is highlighted by trendy grey tones, creating a calming ambiance. At Centro Condos you will have access to a long list of deluxe amenities including a pool, party room, common room, concierge service, gym, sauna and hot tub. Thanks to its ideal location next to Scarborough Town Center, you will have everything you need within walking distance including a Walmart Supercentre, Shopper’s Drug Mart, Real Canadian Super Store, Fresh Co and a vast array of shops and restaurants to choose from. On your doorstep you will find the Civic Center Park, a public library and easy transit access via the McCowan and Scarborough Centre subway stations. This fantastic furnished rental has a monthly rate of $2795 for a one year lease. Option to lease less than one year is available, price will be adjusted based on term. Your rent includes water, hydro, gas, internet and in suite laundry. Parking can be made available for an additional $120 per month. Sorry, pets are not permitted. A one time move out cleaning fee of $195 applies. Please note furnishing may vary from the advertised pictures but is of the same quality. Rent it Furnished provides leasing, tenant placement and full property management services in Toronto. Not all properties listed with us are professionally managed by our company.
A cleaning fee of $195 is applicable for this property.

To APPLY or VIEW this property with an agent please visit the link below:
https://rentitfurnished.com/toronto/property/scarborough-toronto-furnished-condo-rental-at-centro-condos-i/

To CONTACT US or view SIMILAR PROPERTIES please follow this link:
http://rentitfurnished.com/toronto/listings/

Rent it Furnished Inc - 500 King St W, 3rd Floor, Toronto, ON, M5V 1L2


    ","365 Midwest Road, Scarborough, Toronto, ON M1P3A6
Scarborough, Dorset Park Scarborough, Toronto Ontario Canada"
19,Wynford/Eglinton SunSwept 2Bdrm +Den Can Be Used As A 3rd Bdrm,https://toronto.craigslist.org/tor/apa/d/don-mills-south-wynford-eglinton/6957943234.html,2850,2019-08-16 12:35,2.0,1331.0,,43.7334,-79.3329,"
        
Five Year Old Greenpark's Masterpiece Of Condominiums---The Penthouse Suite 10 Ft Ceilings..1331 Of Living Space.. Amazing Layout With Sunswept Family Size Kitchen With Granite Counter,Tall Cabinets,Huge Bedrooms And Den Or Third Bedroom,Stepup Tub & Shower(Master Br)& Another Full Bath..2 Parking Spots,Locker,Stainless Steel Appliances,24Hr Concierge, Elegent Design Lobby...Dvp,Ttc,Super Ctr,Tim Horton,Golf Cource All At Door Step..
Includes:Stainless Steel Kitchen Appliances Which Include Fridge,Stove, B/I Dishwasher & B/I Microwave..Exhaust Hood Fan, White Stacked & Washer & Dryer, 24Hr Concierge,Fitness Club, Steam Room, Guest Suites
 I DO NOT ANSWER EMAILS
PLEASE CALL OR TEXT ME AT  
 FOR THIS RENTAL, REFERENCE #46048    ","North York, Toronto, ON M3C
North York, Banbury-Don Mills North York, Toronto Ontario Canada"
20,Mount Pleasant/Eglinton 2Bdrm Luxury Condo High Demand Location,https://toronto.craigslist.org/tor/apa/d/central-toronto-mount-pleasant-eglinton/6957943381.html,2800,2019-08-16 12:35,2.0,750.0,,43.7135,-79.3887,"
        
2 Bedroom Luxury Condo In High Demand Yonge/Eglinton Location. Close To All Amenities And Rapid Transit. Open Concept Layout. Upgraded Finishes. Includes New B/I Appliances, Washer, Dryer, Window Coverings.
Includes:24 Hr Concierge. Large Fitness Room, Outdoor Pool, Bbq Area, Hot Tub, Party & Billiards Room, Cabanas & More...
 I DO NOT ANSWER EMAILS
PLEASE CALL OR TEXT ME AT  
 FOR THIS RENTAL, REFERENCE #46958    ","258 Erskine Avenue, Toronto, ON M4P1Z4
Toronto, Mount Pleasant East Toronto Ontario Canada"
21,Don Mills/Sheppard Spectacular 2Bdrm Corner Unit Subway @ Doorstep,https://toronto.craigslist.org/tor/apa/d/north-york-don-mills-sheppard/6957943519.html,2800,2019-08-16 12:35,2.0,850.0,,43.7801,-79.3479,"
        
*Spectacular Panoramic N.E. View *High Flr *861Sf Big Corner Unit *Wall-To-Wall Windws *Split Bedrms *Airy 9-Ft Ceiling *Wood Floor In Bedrms Too! *Open-Concept Kitchen, Quartz Stone Counter/Bfast Bar *24-Hr Concierge *Fab Facilities: Indoor Pool, Gym, Theatre, Party Rm.. *Subway @Doorstep *Minutes To Hiways 401/404 *Across From Fairview Mall *Near Supermkt, Library *Walk Score=95,Transit Score=100! *Enjoy Urban Conveniences W/A Great View>> Leave Car & Walk
Includes:*One Locker & Parking *Stainless Steel Fridge + Stove + Dishwasher + Exhaust Hood/Mircowave Oven, Washer,Dryer,Window Coverings, Light Fixtures *N-O Pets & N-O Smokers*Measuremt As Builder's Plan*Tenant Pays For Hydro
 I DO NOT ANSWER EMAILS
PLEASE CALL OR TEXT ME AT  
 FOR THIS RENTAL, REFERENCE #46721    ","North York, Toronto, ON M2J
North York, Don Valley Village North York, Toronto Ontario Canada"
22,50 Lynn Williams Street - 1 Bedroom in The Heart Of Liberty Village,https://toronto.craigslist.org/tor/apa/d/toronto-50-lynn-williams-street-1/6957944079.html,2100,2019-08-16 12:36,1.0,,,43.639933,-79.414182,"
        
An Adorable 1 Bedroom In The Heart Of Liberty Village. Open Concept With A W/O To The Balcony And S/W Exposure. Steps To Ttc, Shopping , Restaurants, Cne, Lake & Go Station. Amenities Include 24 Hrs Concierge, Gym, Indoor Pool, Hot Tub, Party Room & Guest Suites. One Locker Included In Monthly Rent.

Extras:Fridge, Stove, Dishwasher & Microwave Hoodrange. Stacked White Washer/Dryer.

ALLAN ROSS TARKMEEL, Broker of Record  

REGINA TARKMEEL, Broker  

RE/MAX REGAL HOMES, BROKERAGE    ","50 Western Battery Road, Toronto, ON M6K3P1
Toronto, Niagara Toronto Ontario Canada"
23,150 Sudbury Street - Beautifully Furnished Bachelor Unit With A Den,https://toronto.craigslist.org/tor/apa/d/toronto-150-sudbury-street-beautifully/6957965055.html,2000,2019-08-16 12:57,,,Queen West District,43.641286,-79.422871,"
        
Large Beautifully Furnished Bachelor Unit With A Den In The Queen West District. Exposed Ductwork And Concrete Ceilings, Rain Showerhead In The Bathroom And Ample Terrace (Approx 120Sqft) To Enjoy The Hot Summer Days. Steps To Ttc, Restaurants, Shopping & More. One Locker Included.


Extras:Ss Fridge, Stove, Dishwasher & Microwave Hoodrange. Stacked White Washer/Dryer.

ALLAN ROSS TARKMEEL, Broker of Record  

REGINA TARKMEEL, Broker  

RE/MAX REGAL HOMES, BROKERAGE    ","2 Lisgar Street, Toronto, ON M6J0C7
Toronto, Little Portugal Toronto Ontario Canada"
24,Bay&College Downtown Bright +Spacious 1Bdrm +Den Walk To School,https://toronto.craigslist.org/tor/apa/d/downtown-toronto-baycollege-downtown/6957965693.html,2650,2019-08-16 12:58,1.0,650.0,,43.6564,-79.386,"
        
Luxury Living In Downtown Prime Location! Bright And Spacious, With Floor To Ceiling Window! Walking Distance To U Of T, Ryerson, Hospitals, Bay St Financial Core And The Eaton Centre. Hardwood Floor, Garnite Countertop.
Includes:All Existing Electric Light Fixtures. All Window Coverings. Stainless Steel Fridge, Stove, Built-In Dishwasher, Microwave Oven & Exhaust Fan, Washer & Dryer. 1 Locker & 1 Parking Included
 I DO NOT ANSWER EMAILS
PLEASE CALL OR TEXT ME AT  
 FOR THIS RENTAL, REFERENCE #47315    ","150 Elizabeth Street, Toronto, ON M5G0B1
Toronto, Downtown Toronto, Bay Street Corridor Toronto Ontario Canada"
